"","TrialNumber","Condition","Run","P1_1","P1_2","SafeOption","P2_2","O2_2","O2_1","ProbNumber","O1_2","O1_1","EV2","EV1","ProbType","P2_1","ran","order","trialStartTime","viewingEndTime","viewingDur_total","thinkOnset","decideOnset","leftRight","resp","safeChoice","resp_onset","rt","decideDur_total","assignedITI","decide_pad","totalITI","ITI_onset","TrialEndTime","samplingCount_total","samplingCount_risky","samplingCount_safe","switchCount","samplingDur_assigned","samplingDur_total","samplingEndTime","sampling_pad","PID"
"1",1,"Descriptive","Run1",0.2,1,2,0,0,0,"SD12",6,29,6,5.8,"SD",0.8,1,0,0.0304285,6.07381,6.04338,6.07412,9.10662,0,"1.0","1.0","10.8000297546","1.69341433048",11.0696,1.7448,"0.0065856478177",1.75139,11.1169,12.8734,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"2",1,"Experiential","Run1",0.6,1,2,0,0,-12,"MD12",12,30,12,13.2,"MD",0.4,1,0,5.04386,NA,NA,21.687,24.7181,1,"2.0","0.0","25.2915344238","0.573479652405",20.5477,1.4961,"1.12652039528",2.98036,25.8023,28.7848,24,14,10,3,17,16.6424,21.6862,0.357744,"A001"
"3",1,"Descriptive","Run1",0.2,1,2,0,0,0,"SD12",6,29,6,5.8,"SD",0.8,1,0,0.0304285,6.07381,6.04338,6.07412,9.10662,0,"1.0","1.0","10.8000297546","1.69341433048",11.0696,1.7448,"0.0065856478177",1.75139,11.1169,12.8734,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"4",1,"Experiential","Run2",0.3,1,2,0,0,-4,"MD11",5,27,5,5.3,"MD",0.7,1,0,3.71462,NA,NA,20.3129,23.3431,1,"2.0","0.0","23.7542991638","0.411227583885",20.3397,1.2297,"1.2887724638",2.92112,24.2644,27.1936,26,9,17,2,17,16.5975,20.3121,0.402647,"A001"
"5",1,"Descriptive","Run2",0.75,0.75,1,0.25,30,10,"RR3",-5,2,3.75,4,"RR",0.25,1,0,0.0383165,6.07235,6.03403,6.07269,9.10551,0,"1.0","0.0","9.83989429474","0.734386384487",10.1016,1.8199,"0.965613603592",2.78551,10.158,12.9552,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"6",1,"Experiential","Run1",0.6,1,2,0,0,-12,"MD12",12,30,12,13.2,"MD",0.4,1,0,5.04386,NA,NA,21.687,24.7181,1,"2.0","0.0","25.2915344238","0.573479652405",20.5477,1.4961,"1.12652039528",2.98036,25.8023,28.7848,24,14,10,3,17,16.6424,21.6862,0.357744,"A001"
"7",1,"Descriptive","Run2",0.75,0.75,1,0.25,30,10,"RR3",-5,2,3.75,4,"RR",0.25,1,0,0.0383165,6.07235,6.03403,6.07269,9.10551,0,"1.0","0.0","9.83989429474","0.734386384487",10.1016,1.8199,"0.965613603592",2.78551,10.158,12.9552,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"8",1,"Experiential","Run2",0.3,1,2,0,0,-4,"MD11",5,27,5,5.3,"MD",0.7,1,0,3.71462,NA,NA,20.3129,23.3431,1,"2.0","0.0","23.7542991638","0.411227583885",20.3397,1.2297,"1.2887724638",2.92112,24.2644,27.1936,26,9,17,2,17,16.5975,20.3121,0.402647,"A001"
"9",2,"Descriptive","Run1",0.9,1,2,0,0,-10,"MD8",3,5,3,3.5,"MD",0.1,1,1,12.9034,18.9388,6.0354,18.9391,21.9721,0,"2.0","0.0","22.9359264374","0.963874578476",10.3326,3.9403,"0.736125409603",4.67643,23.2526,27.938,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"10",2,"Experiential","Run1",0.75,0.75,1,0.25,30,10,"RR3",-5,2,3.75,4,"RR",0.25,1,1,28.7851,NA,NA,43.7673,46.7992,0,"2.0","1.0","47.3714103699","0.572204947472",18.8863,2.4102,"1.12779510021",3.55637,47.8818,51.4485,23,14,9,3,15,14.9817,43.7668,0.018375,"A001"
"11",2,"Descriptive","Run1",0.9,1,2,0,0,-10,"MD8",3,5,3,3.5,"MD",0.1,1,1,12.9034,18.9388,6.0354,18.9391,21.9721,0,"2.0","0.0","22.9359264374","0.963874578476",10.3326,3.9403,"0.736125409603",4.67643,23.2526,27.938,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"12",2,"Experiential","Run2",0.1,1,2,0,0,-5,"MD5",-4,25,-4,-2,"MD",0.9,1,1,27.1939,NA,NA,41.9429,44.9741,0,"2.0","0.0","45.946269989","0.972183644772",19.0523,4.6191,"0.727816343307",5.59854,46.4562,52.0572,22,12,10,2,15,14.7485,41.9424,0.25162,"A001"
"13",2,"Descriptive","Run2",0.6,0.5,1,0.5,50,25,"RR6",-15,12,17.5,17.2,"RR",0.4,1,1,12.9839,19.0209,6.03708,19.0212,22.0538,0,"1.0","0.0","22.5039253235","0.450091958046",9.82006,3.1124,"1.24990808964",4.36231,22.8202,27.1869,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
