Trial,Resp,LR,Outcome,RT
1,1,0,+5,2.593107263557613
1,1,0,+12,0.338890440762043
1,1,0,+5,0.34160335920751095
1,1,0,+5,0.39545657113194466
1,1,0,+12,0.287745239213109
1,1,0,+12,0.5697803227230906
1,1,0,+12,0.6381092257797718
1,1,0,+5,0.5783272413536906
1,2,0,-5,1.3497647671028972
1,2,0,+17,0.8157220846042037
1,2,0,+17,0.39564234018325806
1,2,0,-5,0.27063252311199903
1,2,0,+17,0.29705675784498453
1,2,0,+17,0.3807350741699338
1,2,0,+17,0.2658164808526635
1,2,0,+17,0.24526287149637938
2,1,0,0,1.6174808563664556
2,1,0,+14,0.24301928654313087
2,1,0,+14,0.24531799834221601
2,1,0,+14,0.17554107308387756
2,1,0,+14,0.11227439530193806
2,1,0,0,0.10221866425126791
2,2,0,0,0.7296045981347561
2,2,0,+12,0.012924589216709137
2,2,0,+12,0.08183836471289396
2,2,0,+12,0.6481022788211703
2,2,0,0,0.027232257649302483
2,2,0,+12,0.5044739544391632
3,1,0,+22,1.2273198561742902
3,1,0,+22,0.2853358956053853
3,1,0,0,0.6647211192175746
3,1,0,+22,0.34457907266914845
3,1,0,+22,0.2896637273952365
3,1,0,0,0.244073492474854
3,1,0,0,0.3145157154649496
3,1,0,0,0.2982155540958047
3,2,0,+8,0.6609347388148308
3,2,0,+8,0.5628668200224638
3,2,0,+8,0.32374832034111023
3,2,0,0,0.24012210965156555
3,2,0,+8,0.08246930316090584
3,2,0,+8,0.08907470107078552
3,2,0,0,0.07992025464773178
3,2,0,0,0.1183104021474719
4,1,1,+32,1.1667710049077868
4,1,1,+32,0.29739809036254883
4,1,1,0,0.15663786977529526
4,1,1,0,0.14098676946014166
4,1,1,0,0.2133270911872387
4,1,1,0,0.24616944324225187
4,1,1,0,0.24794407282024622
4,2,1,0,0.07559242378920317
4,2,1,+3,0.49769147112965584
4,2,1,0,0.15077592805027962
4,2,1,0,0.08617714513093233
4,2,1,0,0.06105292122811079
4,2,1,+3,0.5709866937249899
4,2,1,0,0.11266141571104527
5,1,0,+10,1.3937691627070308
5,1,0,+30,0.10102890711277723
5,1,0,+10,0.21997326705604792
5,1,0,+30,0.038005770184099674
5,1,0,+30,0.02697097137570381
5,1,0,+30,0.008156122639775276
5,1,0,+10,0.004389753565192223
5,2,0,+35,0.017018698155879974
5,2,0,+35,0.8236799780279398
5,2,0,+35,0.5943936808034778
5,2,0,+35,0.23746054340153933
5,2,0,+35,0.15207178611308336
5,2,0,-10,0.16699717566370964
5,2,0,+35,0.15884898323565722
6,1,0,-4,1.0338958036154509
6,1,0,+27,0.009093277156352997
6,1,0,+27,0.5497885541990399
6,1,0,-4,0.21475396864116192
6,1,0,-4,0.02502567507326603
6,1,0,-4,0.5290091531351209
6,2,0,+5,0.14407160505652428
6,2,0,0,0.5451586600393057
6,2,0,0,0.05244559049606323
6,2,0,+5,0.0573046775534749
6,2,0,0,0.15907628647983074
6,2,0,+5,0.1355507392436266
7,1,1,-37,1.200988506898284
7,1,1,-37,0.40727635845541954
7,1,1,+10,0.3169439369812608
7,1,1,-37,0.32840993255376816
7,1,1,+10,0.332965443842113
7,1,1,+10,0.2816450437530875
7,2,1,-5,0.7943680053576827
7,2,1,0,0.2677874518558383
7,2,1,0,0.2707982808351517
7,2,1,-5,0.32944752369076014
7,2,1,-5,0.3020895319059491
7,2,1,-5,0.30501427222043276
8,1,0,-20,1.2450759690254927
8,1,0,-20,0.36481098271906376
8,1,0,+15,0.4462532661855221
8,1,0,+15,0.35006116796284914
8,1,0,+15,0.3216591654345393
8,1,0,+15,0.3101648520678282
8,2,0,-4,0.7520498856902122
8,2,0,0,0.20875194482505322
8,2,0,-4,0.24159165378659964
8,2,0,-4,0.30760523211210966
8,2,0,0,0.2719929460436106
8,2,0,-4,0.3464035438373685
9,1,0,+30,0.9408610351383686
9,1,0,+30,0.30937268771231174
9,1,0,-12,0.2332425881177187
9,1,0,+30,0.31469506584107876
9,1,0,-12,0.37533529102802277
9,1,0,-12,0.33975510112941265
9,1,0,-12,0.24159127566963434
9,1,0,-12,0.2752118231728673
9,2,0,0,0.6625485187396407
9,2,0,+12,0.17782996781170368
9,2,0,0,0.15480244904756546
9,2,0,0,0.15546321589499712
9,2,0,0,0.04366494994610548
9,2,0,0,0.048330715857446194
9,2,0,0,0.07809729501605034
9,2,0,+12,0.06102724652737379
10,1,0,-32,1.183664346113801
10,1,0,-32,0.26034797821193933
10,1,0,-32,0.21297556348145008
10,1,0,0,0.19048685301095247
10,1,0,-32,0.16033551841974258
10,1,0,-32,0.2972897244617343
10,1,0,-32,0.18805447779595852
10,1,0,-32,0.22952719312161207
10,2,0,0,0.20706189237535
10,2,0,-3,0.6305349562317133
10,2,0,0,0.12016394548118114
10,2,0,-3,0.13578899204730988
10,2,0,0,0.08619262650609016
10,2,0,-3,0.1330670127645135
10,2,0,-3,0.03715885616838932
10,2,0,-3,0.1784046459943056
11,1,1,-30,0.6844697250053287
11,1,1,+2,0.5550739308819175
11,1,1,+2,0.3001755755394697
11,1,1,-30,0.27916358318179846
11,1,1,+2,0.22602135594934225
11,1,1,-30,0.40259095933288336
11,1,1,-30,0.27525788825005293
11,2,1,-1,0.6476574894040823
11,2,1,0,0.1379400696605444
11,2,1,-1,0.22558185178786516
11,2,1,0,0.15558857284486294
11,2,1,-1,0.30642340425401926
11,2,1,0,0.2877981001511216
11,2,1,0,0.6010874323546886
12,2,0,0,0.8282641852274537
12,2,0,-4,0.23229939118027687
12,2,0,0,0.08239114284515381
12,2,0,0,0.05706189386546612
12,2,0,-4,0.10809495393186808
12,2,0,0,0.08363489434123039
12,2,0,-4,0.07450990006327629
12,2,0,-4,0.06480720732361078
12,1,0,+25,0.027061968110501766
12,1,0,+25,0.6890773437917233
12,1,0,+25,0.852724245749414
12,1,0,+25,0.29358339309692383
12,1,0,-5,0.2727499967440963
12,1,0,+25,0.2354691820219159
12,1,0,+25,0.37375398352742195
12,1,0,+25,0.3717713067308068
13,1,1,+5,1.0509730260819197
13,1,1,+5,0.14728934690356255
13,1,1,+5,0.2509703831747174
13,1,1,-10,0.24554756749421358
13,1,1,+5,0.231124360114336
13,1,1,-10,0.28068259079009295
13,1,1,+5,0.18860196880996227
13,2,1,+3,0.2750098165124655
13,2,1,0,0.43121800012886524
13,2,1,0,0.18631307501345873
13,2,1,+3,0.25157149136066437
13,2,1,+3,0.1824825182557106
13,2,1,+3,0.13421561382710934
13,2,1,+3,0.11026717629283667
14,1,0,0,1.0385071970522404
14,1,0,-4,0.45752329658716917
14,1,0,0,0.25714533869177103
14,1,0,-4,0.17003556806594133
14,1,0,0,0.22374265547841787
14,1,0,-4,0.11692619044333696
14,1,0,0,0.16432730201631784
14,2,0,-2,0.08597891591489315
14,2,0,0,0.5620025368407369
14,2,0,0,0.05644454900175333
14,2,0,0,0.04642053414136171
14,2,0,0,0.05227454658597708
14,2,0,-2,0.05785481259226799
14,2,0,0,0.007734363898634911
15,1,1,+40,1.3523308057338
15,1,1,+40,0.5243297936394811
15,1,1,+24,0.31669511180371046
15,1,1,+24,0.3447319930419326
15,1,1,+24,0.0932892570272088
15,1,1,+24,0.07630265410989523
15,2,1,-20,0.5379657465964556
15,2,1,-20,0.0038600079715251923
15,2,1,+35,0.21991776302456856
15,2,1,-20,0.009495778940618038
15,2,1,+35,1.3892729310318828
15,2,1,-20,0.07612745650112629
16,1,0,+29,0.8754062773659825
16,1,0,+29,0.19036149512976408
16,1,0,+29,0.21571566630154848
16,1,0,0,0.4406477017328143
16,1,0,+29,0.3644047062844038
16,1,0,0,0.2769777672365308
16,1,0,0,0.2806588029488921
16,2,0,0,0.1454716743901372
16,2,0,0,0.4506298042833805
16,2,0,+6,0.10218090657144785
16,2,0,0,0.11726374831050634
16,2,0,0,0.14078287594020367
16,2,0,+6,0.13208945654332638
16,2,0,+6,0.2679173406213522
17,1,1,+33,1.7285934360697865
17,1,1,+33,0.34034601505845785
17,1,1,+33,0.19284862093627453
17,1,1,+18,0.2018290013074875
17,1,1,+33,0.21068175975233316
17,1,1,+18,0.08474724739789963
17,1,1,+18,0.25113123189657927
17,1,1,+33,0.060865641571581364
17,2,1,-25,0.048730951733887196
17,2,1,+40,0.5101017961278558
17,2,1,+40,0.556814200244844
17,2,1,+40,0.03100126888602972
17,2,1,+40,0.5325308488681912
17,2,1,+40,0.006080560386180878
17,2,1,+40,0.026432164013385773
17,2,1,-25,0.015117579139769077
18,1,1,0,1.650516152381897
18,1,1,+4,0.456535167992115
18,1,1,+4,0.008285632357001305
18,1,1,+4,0.35675680823624134
18,1,1,+4,0.026266406290233135
18,1,1,+4,0.36759828496724367
18,2,1,+3,0.7327139750123024
18,2,1,+3,0.5385472197085619
18,2,1,0,0.03507687523961067
18,2,1,0,0.4477375354617834
18,2,1,0,0.06366955582052469
18,2,1,+3,0.39812078047543764
