Trial,Resp,LR,Outcome,RT
1,1,0,0,14.668060065247118
1,1,0,0,3.0584038151428103
1,1,0,0,1.2884898278862238
1,1,0,0,0.15395515877753496
1,1,0,-12,3.873837051913142
1,1,0,0,1.9571755453944206
1,2,0,0,1.7269656853750348
1,2,0,-7,0.3294007033109665
1,2,0,-7,0.3305564783513546
1,2,0,0,0.35097151529043913
1,2,0,0,0.6589165702462196
1,2,0,-7,0.5275377202779055
2,1,0,-6,1.2488446021452546
2,1,0,-6,0.41072065103799105
2,1,0,-6,0.39352297969162464
2,1,0,-6,0.36665093433111906
2,1,0,-6,0.4600927336141467
2,1,0,0,0.42686902452260256
2,1,0,0,0.5378607781603932
2,1,0,-6,0.5308000184595585
2,2,0,-2,1.6462649712339044
2,2,0,-2,0.24838584195822477
2,2,0,0,0.27292670402675867
2,2,0,0,0.3877422185614705
2,2,0,-2,0.282431167550385
2,2,0,0,0.28605329990386963
2,2,0,-2,0.30427761282771826
2,2,0,-2,0.2925646798685193
3,1,1,+8,1.1395817920565605
3,1,1,+8,0.3953633075580001
3,1,1,0,0.3716602986678481
3,1,1,0,0.3375764600932598
3,1,1,0,0.38041337579488754
3,2,1,+3,1.1643273029476404
3,2,1,+3,0.18762139230966568
3,2,1,+3,0.3249943358823657
3,2,1,0,0.2819312494248152
3,2,1,0,0.22786130663007498
4,1,1,+9,0.6854053707793355
4,1,1,-2,0.12503398209810257
4,1,1,+9,0.1486037066206336
4,1,1,+9,0.19643374998122454
4,1,1,-2,0.22186419181525707
4,1,1,-2,0.16629147715866566
4,2,1,0,0.16529995016753674
4,2,1,+2,0.7261440698057413
4,2,1,0,0.12510459031909704
4,2,1,0,0.1446141880005598
4,2,1,0,0.19225091021507978
4,2,1,0,0.561030643992126
5,1,1,0,0.5367488032206893
5,1,1,0,0.14078287594020367
5,1,1,+20,0.23679071478545666
5,1,1,+20,0.35130605194717646
5,1,1,0,0.23500928841531277
5,1,1,+20,0.21327913831919432
5,1,1,+20,0.21582931838929653
5,2,1,+18,0.18734953366219997
5,2,1,+18,0.6273912191390991
5,2,1,+18,0.11339996382594109
5,2,1,+18,0.3037010468542576
5,2,1,0,0.3316635452210903
6,1,0,-5,0.8607610519975424
6,1,0,+25,0.15885011572390795
6,1,0,+25,0.15132946148514748
6,1,0,+25,0.2557743424549699
6,1,0,-5,0.21697980631142855
6,2,0,0,1.0279617430642247
6,2,0,0,0.1363598946481943
6,2,0,-3,0.15989865735173225
6,2,0,-3,0.16871365811675787
6,2,0,-3,0.20713363401591778
6,2,0,0,0.2655982384458184
6,2,0,0,0.3171017663553357
