Trial,Resp,LR,Outcome,RT,respOnset
1,1,0,-15,2.4114169383828994,317.7342679199646
1,2,0,+9,2.077371629886329,319.81163954985095
1,1,0,+32,5.055740253039403,324.86737980289035
1,2,0,+9,1.2334649264230393,326.1008447293134
1,1,0,-15,1.0374138383485842,327.138258567662
1,2,0,+9,0.6729658015538007,327.8112243692158
1,1,0,+32,0.6471844844927546,328.45840885370853
1,2,0,+9,0.594102631410351,329.0525114851189
1,1,0,+32,0.7822472498519346,329.8347587349708
1,2,0,+9,0.5691236858838238,330.40388242085464
1,1,0,-15,0.5744737624481786,330.9783561833028
1,2,0,+9,0.571921723370906,331.5502779066737
1,1,0,+32,0.4771722187870182,332.02745012546075
1,2,0,+9,0.5600089940417092,332.58745911950245
2,1,0,+4,1.3304523633851204,342.0664820797683
2,2,0,+10,0.48905478144297376,342.5555368612113
2,1,0,+4,0.41444915637839586,342.9699860175897
2,2,0,+10,0.4572771366511006,343.4272631542408
2,1,0,+4,0.3921351417666301,343.8193982960074
2,2,0,-2,0.3131441519362852,344.1325424479437
2,1,0,+4,0.36692419269820675,344.4994666406419
2,2,0,+10,0.5582263608230278,345.05769300146494
2,1,0,+4,0.48049926169915125,345.5381922631641
2,2,0,-2,0.37923468684311956,345.9174269500072
2,1,0,+4,0.5498956916853786,346.4673226416926
2,2,0,-2,0.4865210911666509,346.95384373285924
2,1,0,+4,0.6316741451155394,347.5855178779748
2,2,0,-2,0.7468990517081693,348.33241692968295
2,1,0,+4,0.7852088716172148,349.11762580130016
2,2,0,+10,0.4146743180172052,349.53230011931737
2,1,0,+4,0.5584748472028878,350.09077496652026
2,2,0,-2,0.42618368461262435,350.5169586511329
2,1,0,+4,0.4779500215954613,350.99490867272834
2,2,0,+10,0.3998040098522324,351.3947126825806
2,1,0,+4,0.6167649623530451,352.0114776449336
2,2,0,+10,0.3589990632899571,352.3704767082236
2,1,0,+4,0.40074881789041683,352.771225526114
2,2,0,+10,0.4222654369659722,353.19349096307997
2,1,0,+4,0.3838318403286394,353.5773228034086
2,2,0,-2,0.4002238554530777,353.9775466588617
2,1,0,+4,0.3867312627553474,354.36427792161703
2,2,0,+10,0.4227222911140416,354.7870002127311
2,1,0,+4,0.4547586851986125,355.2417588979297
2,2,0,-2,0.44229269269271754,355.6840515906224
2,1,0,+4,0.5183282806829084,356.2023798713053
2,2,0,-2,0.3358686822466552,356.53824855355197
2,1,0,+4,0.41632508861948736,356.95457364217145
2,2,0,+10,0.4944903821160551,357.4490640242875
2,1,0,+10,0.48797095788177103,357.9370349821693
