TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.2,1,2,0,0,0,SD3,-7,-34,-7,-6.8,SD,0.8,1.0,0.0,8.86974,21.0,9.0,12.0,7.0,17.0,16.6031,25.4729,25.4737,28.4905,0.0,1.0,1.0,29.085477829,0.594931721687,20.5157,2.5575,0.396991,1.105068326,4.05956,29.6035,33.6738
2,0.8,1,2,0,0,0,SD4,-3,-4,-3,-3.2,SD,0.2,1.0,1.0,33.6741,21.0,8.0,13.0,6.0,15.0,14.877,48.5511,48.5516,51.5714,1.0,1.0,1.0,52.317527771,0.746152818203,18.9434,5.0846,0.123083,0.953847169876,6.16153,52.8392,59.004
3,0.8,1,2,0,0,0,SD9,13,16,13,12.8,SD,0.2,1.0,2.0,59.0043,24.0,9.0,15.0,9.0,19.0,18.9224,77.9267,77.9273,80.9512,1.0,2.0,0.0,81.5333862305,0.582163095474,22.8291,1.2853,0.0776695,1.11783695221,2.48081,82.0437,84.5344
4,0.25,0.25,1,0.75,10,6,RR1,-8,2,5.5,5,RR,0.75,1.0,3.0,84.5347,20.0,9.0,11.0,5.0,16.0,15.5163,100.051,100.052,103.082,0.0,1.0,0.0,103.621429443,0.539458334446,19.3867,1.0098,0.483815,1.16054165363,2.65416,104.136,106.799
5,0.1,1,2,0,0,-1,MD10,2,42,2,3.3,MD,0.9,1.0,4.0,106.799,13.0,5.0,8.0,5.0,15.0,14.514,121.313,121.313,124.346,1.0,1.0,1.0,124.645370483,0.299734562635,18.1465,1.3267,0.486043,1.40026545525,3.21301,125.169,128.396
6,0.8,0.6,1,0.4,18,10,RR9,-4,2,4.8,3.6,RR,0.2,1.0,5.0,128.396,21.0,10.0,11.0,12.0,16.0,15.7965,144.192,144.193,147.21,1.0,1.0,0.0,147.581314087,0.371206074953,19.4855,1.1477,0.203617,1.32879388332,2.68011,148.104,150.793
7,0.7,1,2,0,0,0,SD5,-8,-10,-8,-7,SD,0.3,1.0,6.0,150.794,20.0,8.0,12.0,5.0,15.0,14.5145,165.308,165.309,168.341,0.0,NA,NA,NA,NA,2.0,1.2245,0.485572,NA,1.71007,170.349,172.074
8,0.1,1,2,0,0,0,SD10,3,32,3,3.2,SD,0.9,1.0,7.0,172.074,0.0,0.0,0.0,0.0,18.0,17.5138,189.588,189.588,192.621,1.0,NA,NA,NA,NA,2.0,3.6695,0.486285,NA,4.15579,194.629,198.787
9,0.4,1,2,0,0,0,SD2,-2,-4,-2,-1.6,SD,0.6,1.0,8.0,198.787,0.0,0.0,0.0,0.0,15.0,14.5148,213.302,213.304,216.335,0.0,NA,NA,NA,NA,2.0,1.3975,0.485298,NA,1.8828,218.343,220.235
10,0.7,0.1,1,0.9,30,38,RR11,-10,22,26,26.8,RR,0.3,1.0,9.0,220.235,0.0,0.0,0.0,0.0,18.0,17.5141,237.749,237.75,240.782,0.0,NA,NA,NA,NA,2.0,1.2297,0.486,NA,1.7157,242.79,244.516
11,0.8,0.1,1,0.9,35,40,RR7,-20,24,29.5,27.2,RR,0.2,1.0,10.0,244.516,0.0,0.0,0.0,0.0,15.0,14.5136,259.03,259.031,262.063,0.0,NA,NA,NA,NA,2.0,1.8808,0.486449,NA,2.36725,264.071,266.446
12,0.4,1,2,0,0,0,SD11,8,22,8,8.8,SD,0.6,1.0,11.0,266.446,0.0,0.0,0.0,0.0,17.0,16.514,282.96,282.961,285.993,0.0,NA,NA,NA,NA,2.0,1.0887,0.486082,NA,1.57478,288.001,289.577
13,0.8,1,2,0,0,-9,MD9,5,8,5,4.6,MD,0.2,1.0,12.0,289.577,0.0,0.0,0.0,0.0,16.0,15.5142,305.091,305.092,308.124,1.0,NA,NA,NA,NA,2.0,1.1749,0.485827,NA,1.66073,310.132,311.807
14,0.8,1,2,0,0,0,SD6,12,14,12,11.2,SD,0.2,1.0,13.0,311.808,0.0,0.0,0.0,0.0,15.0,14.5149,326.323,326.323,329.355,0.0,NA,NA,NA,NA,2.0,1.5734,0.4852,NA,2.0586,331.363,333.438
15,0.6,1,2,0,0,0,SD8,7,12,7,7.2,SD,0.4,1.0,14.0,333.439,0.0,0.0,0.0,0.0,19.0,18.5143,351.953,351.953,354.985,0.0,NA,NA,NA,NA,2.0,4.6191,0.485749,NA,5.10485,356.993,362.102
16,0.6,0.5,1,0.5,50,25,RR6,-15,12,17.5,17.2,RR,0.4,1.0,15.0,362.102,0.0,0.0,0.0,0.0,15.0,14.5147,376.617,376.617,379.649,1.0,NA,NA,NA,NA,2.0,1.4411,0.485339,NA,1.92644,381.657,383.599
17,0.6,1,2,0,0,-12,MD12,12,30,12,13.2,MD,0.4,1.0,16.0,383.6,0.0,0.0,0.0,0.0,15.0,14.5145,398.114,398.115,401.147,0.0,NA,NA,NA,NA,2.0,1.0113,0.485613,NA,1.49691,403.155,404.664
18,0.9,1,2,0,0,-8,MD7,4,6,4,4.6,MD,0.1,1.0,17.0,404.664,0.0,0.0,0.0,0.0,18.0,17.514,422.178,422.179,425.211,1.0,NA,NA,NA,NA,2.0,2.3911,0.48607,NA,2.87717,427.219,430.111
