TrialNumber,P1_1,P1_2,O2_2,O2_1,O1_1,O1_2,ProbType,EV2,EV1,P2_2,P2_1,ran,order,leftRight,displayOnset,resp,resp_onset,rt,duration,ITI,ITI_onset
1,0.7,0.3,0,0,-10,-8,SD5,-8,-7,0,1,1.0,0.0,0.0,0.0281547,1.0,10.096,0.972907,10.6081,1.1239,10.6198
2,0.9,0.1,25,15,5,-3,RR10,5.4,6,0.3,0.7,1.0,1.0,1.0,12.2905,1.0,21.9041,0.532407,22.4062,1.7448,22.4216
3,0.5,0.5,35,30,10,-10,RR5,21.5,20,0.7,0.3,1.0,2.0,0.0,25.1554,1.0,35.3279,1.0909,35.8433,1.3975,35.8586
4,0.9,0.1,0,-30,2,-1,MD2,-1,-1.2,0,1,1.0,3.0,0.0,37.6637,2.0,48.544,1.80852,49.0461,3.6229,49.0601
5,0.7,0.3,30,38,22,-10,RR11,26,26.8,0.9,0.1,1.0,4.0,1.0,52.4092,1.0,61.96,0.459425,62.4676,2.5049,62.4833
6,0.9,0.1,0,-8,6,4,MD7,4,4.6,0,1,1.0,5.0,0.0,66.0508,2.0,75.6319,0.499812,76.1404,1.1622,76.1531
7,0.8,0.2,0,-9,8,5,MD9,5,4.6,0,1,1.0,6.0,0.0,78.325,2.0,87.76,0.345886,88.2771,2.3911,88.2897
8,0.4,0.6,0,0,-4,-2,SD2,-2,-1.6,0,1,1.0,7.0,0.0,91.8403,2.0,102.28,1.35065,102.796,4.7413,102.807
9,0.1,0.9,0,-5,25,-4,MD5,-4,-2,0,1,1.0,8.0,0.0,107.704,2.0,117.288,0.493899,117.786,1.1231,117.8
10,0.3,0.7,0,-4,27,5,MD11,5,5.3,0,1,1.0,9.0,0.0,119.954,1.0,129.432,0.389425,129.924,3.1912,129.938
11,0.8,0.2,0,0,4,3,SD7,3,3.2,0,1,1.0,10.0,1.0,134.273,1.0,143.672,0.314474,144.173,1.2493,144.185
12,0.8,0.2,0,0,14,12,SD6,12,11.2,0,1,1.0,11.0,0.0,146.637,1.0,156.136,0.413026,156.641,1.1057,156.653
13,0.6,0.4,50,25,12,-15,RR6,17.5,17.2,0.5,0.5,1.0,12.0,0.0,158.874,NA,0.0,-167.938,169.938,1.1584,169.954
14,0.2,0.8,0,0,29,6,SD12,6,5.8,0,1,1.0,13.0,0.0,171.133,1,180.824,0.603803,181.324,1.2245,181.337
15,0.2,0.8,0,-7,24,-2,MD6,-2,-0.8,0,1,1.0,14.0,0.0,183.478,1,193.048,0.479294,193.553,1.1342,193.566
16,0.4,0.6,0,0,22,8,SD11,8,8.8,0,1,1.0,15.0,0.0,195.749,1,205.352,0.518381,205.845,3.4263,205.857
17,0.5,0.5,50,30,14,-15,RR8,24,22,0.6,0.4,1.0,16.0,0.0,210.299,1,219.784,0.401607,220.301,3.9403,220.318
18,0.9,0.1,0,-10,5,3,MD8,3,3.5,0,1,1.0,17.0,0.0,225.359,2,234.768,0.354631,235.275,1.1188,235.289
