TrialNumber,P1_1,P1_2,O2_2,O2_1,O1_1,O1_2,ProbType,EV2,EV1,P2_2,P2_1,ran,order,leftRight,resp,resp_onset,rt,maxL_ITR,maxR_ITR,duration,ITI_onset,ITI
1,0.8,0.2,0,0,14,12,SD6,12,11.2,0,1,1.0,0.0,0.0,2.0,18.9919,0.319493,8.0,8.0,19.4951,19.5008,5.0846
2,0.3,0.7,30,15,5,-8,RR4,11,12,0.5,0.5,1.0,1.0,0.0,2.0,63.264,0.713344,8.0,8.0,63.7743,63.7819,1.2297
3,0.6,0.4,0,-12,30,12,MD12,12,13.2,0,1,1.0,2.0,0.0,1.0,102.432,0.485507,7.0,7.0,102.942,102.949,2.5575
4,0.25,0.75,10,6,2,-8,RR1,5.5,5,0.75,0.25,1.0,3.0,1.0,1.0,133.432,0.672386,6.0,6.0,133.943,133.95,1.3975
5,0.8,0.2,35,40,24,-20,RR7,29.5,27.2,0.9,0.1,1.0,4.0,1.0,1.0,173.976,0.338077,8.0,8.0,174.49,174.498,1.0098
6,0.9,0.1,0,-37,10,-5,MD3,-5,5.3,0,1,1.0,5.0,1.0,2.0,204.704,0.469463,7.0,7.0,205.223,205.23,1.8808
7,0.7,0.3,0,0,-10,-8,SD5,-8,-7,0,1,1.0,6.0,0.0,2.0,221.592,0.576025,6.0,6.0,222.111,222.117,1.2245
8,0.8,0.2,40,33,18,-25,RR12,20.5,21,0.7,0.3,1.0,7.0,0.0,1.0,271.368,0.324493,7.0,7.0,271.865,271.872,2.3911
9,0.4,0.6,0,0,22,8,SD11,8,8.8,0,1,1.0,8.0,1.0,1.0,296.472,0.397935,8.0,8.0,296.973,296.98,3.6695
10,0.4,0.6,17,12,5,-5,RR2,8.2,9.2,0.6,0.4,1.0,9.0,0.0,1.0,332.736,0.782979,7.0,7.0,333.233,333.241,1.0113
11,0.8,0.2,0,0,4,3,SD7,3,3.2,0,1,1.0,10.0,1.0,2.0,351.407,1.09032,6.0,6.0,351.91,351.916,1.5734
12,0.1,0.9,0,-1,42,2,MD10,2,3.3,0,1,1.0,11.0,1.0,1.0,372.544,0.362083,7.0,7.0,373.06,373.067,1.1749
13,0.4,0.6,0,-20,15,-4,MD4,-4,-6,0,1,1.0,12.0,1.0,NA,392.912,0.0,7.0,7.0,394.912,394.919,1.1477
14,0.6,0.3,0,-22,4,-6,MD1,-6,-4.2,0,1,1.0,13.0,0.0,2,421.112,0.369058,6.0,6.0,421.62,421.626,1.2853
15,0.1,0.9,0,0,32,3,SD10,3,3.2,0,1,1.0,14.0,0.0,1,438.176,0.301823,6.0,6.0,438.682,438.688,1.0887
16,0.7,0.3,30,38,22,-10,RR11,26,26.8,0.9,0.1,1.0,15.0,0.0,1,484.719,0.917608,8.0,8.0,485.223,485.231,1.3267
17,0.8,0.2,0,0,16,13,SD9,13,12.8,0,1,1.0,16.0,1.0,2,503.736,0.336198,6.0,6.0,504.239,504.244,4.6191
18,0.75,0.25,30,10,2,-5,RR3,3.75,4,0.25,0.75,1.0,17.0,1.0,2,535.784,0.521125,8.0,8.0,536.273,536.28,1.4411
