TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,viewingEndTime,viewingDur_total,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.6,0.5,1,0.5,50,25,RR6,-15,12,17.5,17.2,RR,0.4,1.0,0.0,0.0400334,6.09982,6.05979,6.10014,9.13294,0.0,1.0,0.0,9.608,0.475062,9.86796,1.2493,1.22494,2.47424,9.92409,12.3995
2,0.8,1,2,0,0,0,SD6,12,14,12,11.2,SD,0.2,1.0,1.0,12.4293,18.4817,6.05237,18.482,21.5148,0.0,2.0,0.0,22.1039,0.589122,9.97461,1.1622,1.11088,2.27308,22.4201,24.698
3,0.8,0.3,1,0.7,40,33,RR12,-25,18,20.5,21,RR,0.2,1.0,2.0,24.739,30.7971,6.05815,30.7974,33.83,1.0,1.0,0.0,34.2639,0.433856,9.82491,1.2245,1.26614,2.49064,34.5927,37.0966
4,0.8,1,2,0,0,0,SD4,-3,-4,-3,-3.2,SD,0.2,1.0,3.0,37.1228,43.1788,6.05608,43.1791,46.2119,0.0,1.0,1.0,47.096,0.884138,10.2732,3.4263,0.815862,4.24216,47.4147,51.6614
5,0.4,0.4,1,0.6,17,12,RR2,-5,5,8.2,9.2,RR,0.6,1.0,4.0,51.6962,57.7605,6.06437,57.7608,60.7938,0.0,1.0,0.0,61.1759,0.382096,9.77975,3.1912,1.3179,4.5091,61.4902,66.0098
6,0.75,0.75,1,0.25,30,10,RR3,-5,2,3.75,4,RR,0.25,1.0,5.0,66.0426,72.0921,6.0495,72.0923,75.1252,0.0,1.0,0.0,75.544,0.418828,9.80137,4.7413,1.28117,6.02247,75.8624,81.8914
7,0.3,0.5,1,0.5,30,15,RR4,-8,5,11,12,RR,0.7,1.0,6.0,81.9226,87.9737,6.05116,87.974,91.0069,0.0,1.0,0.0,91.632,0.625112,10.0094,1.3975,1.07489,2.47239,91.9532,94.4399
8,0.3,1,2,0,0,-4,MD11,5,27,5,5.3,MD,0.7,1.0,7.0,94.468,100.506,6.03785,100.506,103.539,0.0,1.0,1.0,103.896,0.357326,9.7279,2.3911,1.34267,3.73377,104.215,107.955
9,0.2,1,2,0,0,-7,MD6,-2,24,-2,-0.8,MD,0.8,1.0,8.0,107.979,114.037,6.05848,114.038,117.07,0.0,1.0,1.0,118.264,1.19351,10.585,1.1239,0.506486,1.63039,118.59,120.237
10,0.9,1,2,0,0,-10,MD8,3,5,3,3.5,MD,0.1,1.0,9.0,120.27,126.336,6.06589,126.336,129.369,1.0,1.0,1.0,130.048,0.678989,10.078,1.7448,1.02101,2.76581,130.364,133.136
11,0.6,1,2,0,0,-12,MD12,12,30,12,13.2,MD,0.4,1.0,10.0,133.16,139.218,6.05744,139.218,142.251,1.0,2.0,0.0,143.104,0.85306,10.2436,1.1188,0.84694,1.96574,143.422,145.401
12,0.6,1,2,0,0,-22,MD1,-6,4,-6,-6.4,MD,0.4,1.0,11.0,145.427,151.483,6.05601,151.483,154.516,1.0,2.0,0.0,155.08,0.563842,9.95298,3.6229,1.13616,4.75906,155.403,160.166
13,0.2,1,2,0,0,0,SD3,-7,-34,-7,-6.8,SD,0.8,1.0,12.0,160.19,166.248,6.05764,166.248,169.281,0.0,2.0,0.0,169.672,0.390834,9.78151,3.9403,1.30917,5.24947,170.044,175.297
14,0.5,0.3,1,0.7,35,30,RR5,-10,10,21.5,20,RR,0.5,1.0,13.0,175.327,181.38,6.05243,181.38,184.413,0.0,1.0,0.0,184.736,0.32332,9.70878,1.1342,1.37668,2.51088,185.055,187.579
15,0.4,1,2,0,0,0,SD11,8,22,8,8.8,SD,0.6,1.0,14.0,187.605,193.645,6.04011,193.645,196.678,0.0,1.0,1.0,197.048,0.370184,9.74333,1.1231,1.32982,2.45292,197.361,199.828
16,0.9,1,2,0,0,-8,MD7,4,6,4,4.6,MD,0.1,1.0,15.0,199.865,205.927,6.06213,205.927,208.96,1.0,2.0,0.0,209.368,0.408004,9.80328,1.1584,1.292,2.4504,209.693,212.16
17,0.8,0.1,1,0.9,35,40,RR7,-20,24,29.5,27.2,RR,0.2,1.0,16.0,212.194,218.242,6.04805,218.242,221.275,1.0,1.0,0.0,221.792,0.51688,9.89786,1.1057,1.18312,2.28882,222.11,224.408
18,0.8,0.6,1,0.4,18,10,RR9,-4,2,4.8,3.6,RR,0.2,1.0,17.0,224.436,230.474,6.0378,230.474,233.507,1.0,1.0,0.0,233.992,0.48498,9.85568,2.5049,1.21502,3.71992,234.308,238.04
