TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.8,1,2,0,0,0,SD6,12,14,12,11.2,SD,0.2,1.0,0.0,9.57204,12.0,2.0,10.0,3.0,15.0,14.5031,24.0752,24.0762,27.1082,0.0,1.0,1.0,28.6756496429,1.56747460365,19.4036,1.2377,0.49698,0.132525399327,1.86721,29.1878,31.0582
2,0.2,1,2,0,0,0,SD12,6,29,6,5.8,SD,0.8,1.0,1.0,31.0585,14.0,3.0,11.0,3.0,15.0,14.5145,45.573,45.5735,48.6059,1.0,1.0,1.0,50.1396141052,1.53369891644,19.3811,1.233,0.485639,0.166301116347,1.88494,50.6513,52.5389
3,0.8,0.1,1,0.9,35,40,RR7,-20,24,29.5,27.2,RR,0.2,1.0,2.0,52.5392,14.0,12.0,2.0,2.0,18.0,17.5143,70.0536,70.0541,73.0861,1.0,NA,NA,NA,NA,2.0,2.2012,0.485776,NA,2.68698,75.0935,77.7861
4,0.4,0.4,1,0.6,17,12,RR2,-5,5,8.2,9.2,RR,0.6,1.0,3.0,77.7864,14.0,7.0,7.0,9.0,15.0,14.5142,92.3006,92.3012,95.3336,0.0,NA,NA,NA,NA,2.0,1.048,0.48585,NA,1.53385,97.3412,98.8835
5,0.7,1,2,0,0,0,SD5,-8,-10,-8,-7,SD,0.3,1.0,4.0,98.8838,20.0,7.0,13.0,10.0,19.0,18.8888,117.773,117.773,120.797,1.0,NA,NA,NA,NA,2.0,5.4629,0.111226,NA,5.57413,122.805,128.38
6,0.1,1,2,0,0,0,SD10,3,32,3,3.2,SD,0.9,1.0,5.0,128.38,20.0,2.0,18.0,2.0,17.0,16.5144,144.895,144.895,147.928,0.0,1,1,148.691594791,0.764047981434,20.6112,1.3248,0.48564,0.935952018566,2.74639,149.21,151.96
7,0.1,1,2,0,0,-5,MD5,-4,25,-4,-2,MD,0.9,1.0,6.0,151.961,15.0,5.0,10.0,6.0,19.0,18.5203,170.481,170.481,173.507,0.0,2,0,174.579550385,1.0721722704,22.919,5.4629,0.479823,0.627827729597,6.57055,175.097,181.674
8,0.1,1,2,0,0,-1,MD10,2,42,2,3.3,MD,0.9,1.0,7.0,181.674,16.0,4.0,12.0,5.0,15.0,14.9256,196.6,196.6,199.621,0.0,1,1,200.45955262,0.838071529629,19.0855,1.0098,0.0745023,0.861928470371,1.94623,200.981,202.938
9,0.8,1,2,0,0,0,SD4,-3,-4,-3,-3.2,SD,0.2,1.0,8.0,202.938,22.0,8.0,14.0,12.0,18.0,17.6249,220.563,220.564,223.585,0.0,1,1,225.171349484,1.58620486543,22.5329,1.0587,0.375153,0.113795134572,1.54765,225.694,227.252
10,0.8,0.3,1,0.7,40,33,RR12,-25,18,20.5,21,RR,0.2,1.0,9.0,227.252,13.0,1.0,12.0,1.0,16.0,15.7747,243.027,243.028,246.049,0.0,2,1,247.163359879,1.11439975442,20.211,4.653,0.225357,0.585600245579,5.46396,247.675,253.149
11,0.5,0.4,1,0.6,50,30,RR8,-15,14,24,22,RR,0.5,1.0,10.0,253.149,14.0,6.0,8.0,1.0,16.0,15.5144,268.664,268.664,271.696,1.0,1,0,272.331344364,0.634885202276,19.4821,1.4961,0.485654,1.06511479772,3.04687,272.839,275.896
12,0.1,1,2,0,0,0,SD1,-3,-32,-3,-3.2,SD,0.9,1.0,11.0,275.897,19.0,15.0,4.0,1.0,18.0,17.9006,293.797,293.798,296.827,0.0,1,1,297.875324767,1.04855346976,22.2788,1.8631,0.099488,0.651446530242,2.61403,298.397,301.027
13,0.9,1,2,0,0,-37,MD3,-5,10,-5,5.3,MD,0.1,1.0,12.0,301.027,20.0,17.0,3.0,2.0,17.0,16.6402,317.667,317.668,320.691,1.0,2,0,321.395261212,0.704658702988,20.6683,2.4102,0.359861,0.995341297012,3.7654,321.908,325.69
14,0.8,1,2,0,0,-9,MD9,5,8,5,4.6,MD,0.2,1.0,13.0,325.691,14.0,1.0,13.0,1.0,15.0,14.7531,340.444,340.445,343.471,1.0,2,0,344.307251323,0.835769798157,18.9166,1.2135,0.246941,0.864230201843,2.32467,344.823,347.155
15,0.9,1,2,0,0,-10,MD8,3,5,3,3.5,MD,0.1,1.0,14.0,347.155,19.0,5.0,14.0,3.0,15.0,14.581,361.736,361.736,364.769,1.0,1,1,365.323244883,0.554449957542,18.4684,1.3679,0.41905,1.14555004246,2.9325,365.836,368.785
16,0.3,1,2,0,0,-4,MD11,5,27,5,5.3,MD,0.7,1.0,15.0,368.786,19.0,15.0,4.0,2.0,17.0,16.5143,385.3,385.301,388.333,0.0,2,0,389.027162772,0.694374162007,20.5414,1.7267,0.485775,1.00562583799,3.2181,389.55,392.783
17,0.8,1,2,0,0,0,SD7,3,4,3,3.2,SD,0.2,1.0,16.0,392.783,17.0,13.0,4.0,5.0,15.0,14.8341,407.617,407.617,410.647,0.0,1,1,411.859177154,1.21221201454,19.3763,1.5966,0.166016,0.48778798546,2.2504,412.372,414.63
18,0.6,1,2,0,0,-12,MD12,12,30,12,13.2,MD,0.4,1.0,17.0,414.63,16.0,6.0,10.0,3.0,15.0,14.5145,429.145,429.145,432.178,1.0,1,1,433.195108368,1.01731849039,18.8647,2.274,0.485599,0.682681509612,3.44228,433.712,437.161
