TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,viewingEndTime,viewingDur_total,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.8,1,2,0,0,0,SD6,12,14,12,11.2,SD,0.2,1.0,0.0,0.0283276,6.09107,6.06274,6.09139,9.12418,1.0,NA,NA,NA,NA,2.0,1.3975,NA,1.3975,11.1366,12.5408
2,0.25,0.25,1,0.75,10,6,RR1,-8,2,5.5,5,RR,0.75,1.0,1.0,12.5723,18.6229,6.0506,18.6232,21.6559,0.0,1,0,23.0961611364,1.44022556674,10.8238,1.1188,0.259774433263,1.37857,23.4118,24.8058
3,0.2,1,2,0,0,-7,MD6,-2,24,-2,-0.8,MD,0.8,1.0,2.0,24.8343,30.8882,6.05387,30.8884,33.921,0.0,2,0,35.1201597927,1.19911608379,10.5858,3.1912,0.500883916207,3.69208,35.4398,39.1376
4,0.8,0.6,1,0.4,18,10,RR9,-4,2,4.8,3.6,RR,0.2,1.0,3.0,39.166,45.2199,6.05394,45.2202,48.2524,1.0,1,0,48.832090212,0.57971824985,9.96611,1.1622,1.12028175015,2.28248,49.1569,51.4527
5,0.9,1,2,0,0,-8,MD7,4,6,4,4.6,MD,0.1,1.0,4.0,51.4792,57.5183,6.03906,57.5185,60.5515,1.0,1,1,61.4559918288,0.904476975091,10.2768,1.1231,0.795523024909,1.91862,61.7771,63.7013
6,0.8,0.1,1,0.9,35,40,RR7,-20,24,29.5,27.2,RR,0.2,1.0,5.0,63.7326,69.7837,6.05107,69.7839,72.8167,0.0,1,0,73.5600806512,0.743382897228,10.1275,3.9403,0.956617102772,4.89692,73.8864,78.7996
7,0.1,1,2,0,0,-1,MD10,2,42,2,3.3,MD,0.9,1.0,6.0,78.826,84.8818,6.05583,84.882,87.9149,0.0,2,0,88.3919575298,0.477062723599,9.86601,2.3911,1.2229372764,3.61404,88.7088,92.3313
8,0.3,0.5,1,0.5,30,15,RR4,-8,5,11,12,RR,0.7,1.0,7.0,92.3618,98.4136,6.05181,98.4138,101.447,0.0,1,0,102.327947773,0.881127002649,10.2662,1.2245,0.818872997351,2.04337,102.646,104.697
9,0.2,1,2,0,0,0,SD12,6,29,6,5.8,SD,0.8,1.0,8.0,104.725,110.779,6.05374,110.779,113.812,1.0,2,0,114.35988733,0.547994668595,9.93479,1.1239,1.1520053314,2.27591,114.672,116.962
10,0.6,1,2,0,0,-12,MD12,12,30,12,13.2,MD,0.4,1.0,9.0,116.988,123.044,6.05627,123.044,126.077,1.0,2,0,126.679922898,0.602767289616,9.99207,2.5049,1.09723271038,3.60213,126.999,130.61
11,0.9,1,2,0,0,-10,MD8,3,5,3,3.5,MD,0.1,1.0,10.0,130.638,136.693,6.05495,136.693,139.725,0.0,1,1,140.455910649,0.730410732329,10.1183,1.7448,0.969589267671,2.71439,140.776,143.492
12,0.8,1,2,0,0,0,SD4,-3,-4,-3,-3.2,SD,0.2,1.0,11.0,143.515,149.574,6.05931,149.575,152.607,1.0,NA,NA,NA,NA,2.0,3.6229,NA,3.6229,154.621,158.257
13,0.75,0.75,1,0.25,30,10,RR3,-5,2,3.75,4,RR,0.25,1.0,12.0,158.286,164.323,6.03655,164.323,167.356,1.0,2,1,167.831982979,0.476215809584,9.84581,1.2493,1.22378419042,2.47308,168.191,170.672
14,0.5,0.4,1,0.6,50,30,RR8,-15,14,24,22,RR,0.5,1.0,13.0,170.699,176.754,6.05487,176.754,179.788,0.0,NA,NA,NA,NA,2.0,3.4263,NA,3.4263,181.805,185.237
15,0.9,1,2,0,0,-30,MD2,-1,2,-1,-1.2,MD,0.1,1.0,14.0,185.264,191.303,6.03873,191.303,194.335,1.0,1,1,195.639989956,1.30455211364,10.6757,1.1057,0.395447886363,1.50115,195.967,197.469
16,0.7,0.1,1,0.9,30,38,RR11,-10,22,26,26.8,RR,0.3,1.0,15.0,197.5,203.535,6.03499,203.535,206.568,0.0,NA,NA,NA,NA,2.0,1.1342,NA,1.1342,208.583,209.734
17,0.9,1,2,0,0,-37,MD3,-5,10,-5,5.3,MD,0.1,1.0,16.0,209.759,215.817,6.0572,215.817,218.85,1.0,1,1,220.08798689,1.23839241173,10.6286,1.1584,0.461607588269,1.62001,220.412,222.033
18,0.8,0.3,1,0.7,40,33,RR12,-25,18,20.5,21,RR,0.2,1.0,17.0,222.063,228.115,6.05191,228.115,231.148,1.0,1,0,231.927882452,0.779633671045,10.1646,4.7413,0.920366328955,5.66167,232.259,237.931
