TrialNumber,P1_1,P1_2,SafeOption,P2_2,O2_2,O2_1,ProbNumber,O1_2,O1_1,EV2,EV1,ProbType,P2_1,ran,order,trialStartTime,samplingCount_total,samplingCount_risky,samplingCount_safe,switchCount,samplingDur_assigned,samplingDur_total,samplingEndTime,thinkOnset,decideOnset,leftRight,resp,safeChoice,resp_onset,rt,decideDur_total,assignedITI,sampling_pad,decide_pad,totalITI,ITI_onset,TrialEndTime
1,0.75,0.75,1,0.25,30,10,RR3,-5,2,3.75,4,RR,0.25,1.0,0.0,12.7005,19.0,10.0,9.0,7.0,17.0,16.7991,29.4996,29.5003,32.5229,0.0,2.0,1.0,33.2521591187,0.729284107685,20.8517,2.274,0.20104,0.970715880394,3.44576,33.7705,37.2229
2,0.3,0.5,1,0.5,30,15,RR4,-8,5,11,12,RR,0.7,1.0,1.0,37.2233,14.0,5.0,9.0,5.0,15.0,14.8651,52.0883,52.0888,55.1203,0.0,2.0,1.0,55.6440353394,0.523744344711,18.7208,1.0098,0.13502,1.17625570297,2.32108,56.1562,58.487
3,0.8,0.3,1,0.7,40,33,RR12,-25,18,20.5,21,RR,0.2,1.0,2.0,58.4873,12.0,2.0,10.0,2.0,17.0,16.5141,75.0014,75.002,78.0343,0.0,1.0,0.0,78.5161819458,0.481894075871,20.3289,2.2012,0.485932,1.21810591221,3.90524,79.026,82.934
4,0.4,1,2,0,0,0,SD11,8,22,8,8.8,SD,0.6,1.0,3.0,82.9343,19.0,7.0,12.0,4.0,16.0,15.7367,98.671,98.6715,101.698,1.0,1.0,1.0,102.276039124,0.577847480774,19.6417,1.0587,0.263396,1.1221524477,2.44425,102.785,105.231
5,0.6,1,2,0,0,-22,MD1,-6,4,-6,-6.4,MD,0.4,1.0,4.0,105.232,23.0,8.0,15.0,3.0,19.0,18.5142,123.746,123.747,126.779,1.0,2.0,0.0,127.235923767,0.457258820534,22.3041,5.4629,0.485857,1.24274122715,7.1915,127.75,134.945
6,0.25,0.25,1,0.75,10,6,RR1,-8,2,5.5,5,RR,0.75,1.0,5.0,134.945,23.0,8.0,15.0,4.0,18.0,17.9168,152.862,152.862,155.892,0.0,1.0,0.0,156.427856445,0.53599947691,21.783,1.4961,0.0833109,1.16400051117,2.74341,156.945,159.692
7,0.6,1,2,0,0,-12,MD12,12,30,12,13.2,MD,0.4,1.0,6.0,159.692,17.0,4.0,13.0,4.0,15.0,14.5144,174.207,174.207,177.239,0.0,2.0,0.0,177.643890381,0.404572337866,18.2517,1.5966,0.485701,1.29542768002,3.37773,178.159,181.539
8,0.8,0.6,1,0.4,18,10,RR9,-4,2,4.8,3.6,RR,0.2,1.0,7.0,181.54,19.0,8.0,11.0,7.0,18.0,17.5302,199.07,199.07,202.103,1.0,2.0,1.0,202.451889038,0.348682880402,21.2124,1.3679,0.46992,1.35131716728,3.18914,202.966,206.17
9,0.2,1,2,0,0,0,SD12,6,29,6,5.8,SD,0.8,1.0,8.0,206.17,16.0,7.0,9.0,7.0,16.0,15.7538,221.924,221.924,224.95,0.0,1.0,1.0,225.299819946,0.349370449781,19.4299,1.233,0.246297,1.3506295681,2.82993,225.821,228.667
10,0.8,0.1,1,0.9,35,40,RR7,-20,24,29.5,27.2,RR,0.2,1.0,9.0,228.667,13.0,6.0,7.0,4.0,15.0,14.5146,243.182,243.182,246.215,1.0,1.0,0.0,247.899871826,1.68518579006,19.5326,4.653,0.485456,0.0148142622784,5.15327,248.41,253.564
