Trial,Resp,LR,Outcome,RT,respOnset
1,1,0,+2,0.7115365477075102,4.068854362718412
1,1,0,+2,0.5204962388088461,4.589350601527258
1,1,0,+2,0.7841393538983539,5.373489955425612
1,1,0,+2,0.5437898931122618,5.9172798485378735
1,1,0,-30,0.5039676961459918,6.421247544683865
1,2,0,-1,0.8236309613421327,7.244878506025998
1,2,0,-1,0.5440536183159566,7.7889321243419545
1,2,0,-1,0.8401172084413702,8.629049332783325
1,2,0,-1,0.5599517706286861,9.18900110341201
1,2,0,-1,1.0876388755859807,10.276639978997991
1,2,0,-1,0.808623192642699,11.08526317164069
1,2,0,-1,0.7918772632838227,11.877140434924513
1,2,0,-1,0.7274378099828027,12.604578244907316
1,2,0,-1,0.871840739826439,13.476418984733755
1,2,0,-1,0.8401467531366507,14.316565737870405
1,2,0,-1,0.7685854749579448,15.08515121282835
1,2,0,-1,0.791503756219754,15.876654969048104
1,1,0,+2,0.8317003932170337,16.708355362265138
1,1,0,-30,1.2407668183877831,17.94912218065292
2,2,1,+30,0.5218437876028474,26.140348154614912
2,2,1,+30,0.7761243464337895,26.916472501048702
2,2,1,+30,0.6395806147047551,27.556053115753457
2,2,1,+30,0.6405680292809848,28.19662114503444
2,2,1,+14,0.6153045217797626,28.811925666814204
2,2,1,+30,0.6002096739830449,29.41213534079725
2,2,1,+14,0.5995898575201863,30.011725198317436
2,2,1,+14,0.5919352952769259,30.60366049359436
2,1,1,+50,0.8484935940796277,31.45215408767399
2,1,1,-15,0.5999378628621344,32.05209195053612
2,1,1,+50,0.6802714254881721,32.732363376024296
2,1,1,+50,0.5758157133095665,33.30817908933386
2,1,1,+50,0.5914299255964579,33.89960901493032
2,1,1,-15,0.6079286125604995,34.50753762749082
2,1,1,+50,0.5680690960143693,35.07560672350519
2,1,1,-15,0.6161837094841758,35.691790432989364
2,1,1,-15,0.5839846641320037,36.27577509712137
2,1,1,+50,0.5516898317728192,36.82746492889419
2,1,1,+50,0.5927158970443998,37.42018082593859
2,1,1,+50,0.55948776351579,37.97966858945438
2,1,1,+50,0.5919085495552281,38.571577139009605
2,1,1,+50,0.5763534266152419,39.14793056562485
2,1,1,+50,1.4560085810226155,40.60393914664746
2,1,1,+50,0.6876703484595055,41.29160949510697
2,1,1,+50,0.5756138764263596,41.86722337153333
